,scenario,bus_idx,installed_kW,violation
228,PVEV_bus_2_iter_228,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
229,PVEV_bus_2_iter_229,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
230,PVEV_bus_2_iter_230,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
231,PVEV_bus_2_iter_231,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
232,PVEV_bus_2_iter_232,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
233,PVEV_bus_2_iter_233,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
234,PVEV_bus_2_iter_234,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
235,PVEV_bus_2_iter_235,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
236,PVEV_bus_2_iter_236,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
237,PVEV_bus_2_iter_237,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
238,PVEV_bus_2_iter_238,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
239,PVEV_bus_2_iter_239,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
240,PVEV_bus_2_iter_240,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
241,PVEV_bus_2_iter_241,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
242,PVEV_bus_2_iter_242,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
243,PVEV_bus_2_iter_243,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
244,PVEV_bus_2_iter_244,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
245,PVEV_bus_2_iter_245,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
246,PVEV_bus_2_iter_246,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
247,PVEV_bus_2_iter_247,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
248,PVEV_bus_2_iter_248,2,0.0,generate_pv_profile() got an unexpected keyword argument 'ev_max_kw'
249,PVEV_bus_2_iter_249,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
250,PVEV_bus_2_iter_250,2,0.0,"""None of [Index([0], dtype='int64')] are in the [index]"""
